pub_date,headline_str,content_hash,duplication_count,section_name,word_count
1983-09-18T05:00:00+0000,A $4.98 CONCESSION THAT TRACK ATHLETES DESERVE,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,1518
1983-09-19T05:00:00+0000,Field Hockey Patron,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,409
1983-09-19T05:00:00+0000,Question Box,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,929
1983-09-21T05:00:00+0000,Advertising; S.I.'s Big Olympics Preview,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Business Day,714
1983-09-21T05:00:00+0000,DOWNING OF JET HAS TANGLED SOVIET-U.S. SPORTS EXCHANGE,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,2304
1983-09-22T05:00:00+0000,Patriotic Cheers,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,148
1983-09-22T05:00:00+0000,Olympic Team Winss,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,27
1983-09-22T05:00:00+0000,SOVIET DROPS HOCKEY TOUR,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,121
1983-09-23T05:00:00+0000,PLAYSLawrie Mifflin,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,543
1983-09-23T05:00:00+0000,Comings and Goings,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,94
1983-09-23T05:00:00+0000,Transactions,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,600
1983-09-23T05:00:00+0000,Soviet Move Criticized,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,133
1983-09-25T05:00:00+0000,RANGERS' EX-OLYMPIANS SAVOR SCENE OF TRIUMPH,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,1047
1983-09-25T05:00:00+0000,CALGARY MAKES PROGRESS TOWARD '88 GAMES,d9afd4541b453bda2ef5eeaa1bd7a23d,240,World,352
1983-09-25T05:00:00+0000,Q&A,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Travel,720
1983-09-25T05:00:00+0000,"NUMISMATICS;
GOLD COIN IN PRODUCTION",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Arts,1746
1983-09-25T05:00:00+0000,One Dead Heat,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,230
1983-09-25T05:00:00+0000,A REVIEW OF THE SUMMER,d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,760
1983-09-25T05:00:00+0000,EX-INSIDER VIEWS CHILDREN SPORTS,d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,618
1983-09-25T05:00:00+0000,WHAT'S DOING IN LOS ANGELES,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Travel,1770
1983-09-25T05:00:00+0000,EDITORS' NOTE,d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,74
1983-09-25T05:00:00+0000,Somebody Goofed,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,213
1983-09-26T05:00:00+0000,U.S. Rowers Score in Regatta,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,71
1983-09-27T05:00:00+0000,REAGAN SAYS U.S. IS WILLINGTO CUT BACK ON WARHEADS IT WANTS TO BASE IN EUROPE,d9afd4541b453bda2ef5eeaa1bd7a23d,240,World,1177
1983-09-27T05:00:00+0000,News Analysis,d9afd4541b453bda2ef5eeaa1bd7a23d,240,U.S.,909
1983-09-27T05:00:00+0000,Shorter Aiming For '84 Olympics,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,259
1983-09-27T05:00:00+0000,Sportswomen of Year,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,192
1983-09-27T05:00:00+0000,A Faulty Tack on Covering the Races; TV SPORTS,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,1010
1983-09-27T05:00:00+0000,An Honor Waits,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,253
1983-09-28T05:00:00+0000,WEDNESDAY SPORTS,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,483
1983-09-28T05:00:00+0000,Killy Shifts Gears,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,178
1983-09-28T05:00:00+0000,"OPERA: JOAN SUTHERLAND, 'LA FILLE DU REGIMENT'",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Arts,844
1983-09-28T05:00:00+0000,Advertising; ABC's Olympics Pitch,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Business Day,505
1983-09-30T05:00:00+0000,FRIDAY SPORTS,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,359
1983-09-30T05:00:00+0000,WALDEMORE OF JETS IS LOST FOR SEASON,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,281
1983-09-30T05:00:00+0000,No Headline,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,118
1983-09-30T05:00:00+0000,Transactions,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,666
1983-10-01T05:00:00+0000,STOPGAP FEDERAL MONEY BILL IS VOTED,d9afd4541b453bda2ef5eeaa1bd7a23d,240,U.S.,844
1983-10-02T05:00:00+0000,COUNTRY COUSIN TO A CHATEAU,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Travel,1929
1983-10-02T05:00:00+0000,"STAMPS;
DEFINITIVE HONORS A CRUSADER AND REFORMER",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Arts,1705
1983-10-02T05:00:00+0000,NEW ROCHELLE OPENS ITS NEW CENTER,d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,878
1983-10-02T05:00:00+0000,HOW CONCERT SERIES SURVIVED,d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,872
1983-10-03T05:00:00+0000,MONDAY SPORTS Football,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,251
1983-10-03T05:00:00+0000,SPORTS WORLD SPECIALS,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,265
1983-10-04T05:00:00+0000, Devils in a Deal,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,105
1983-10-05T05:00:00+0000,FINDING PROFIT IN ROADWORK,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,803
1983-10-05T05:00:00+0000, Carter on Soviet,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,124
1983-10-06T05:00:00+0000,Tour by Soviet Appears Revived,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,103
1983-10-06T05:00:00+0000,Olympic Attire,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,209
1983-10-08T05:00:00+0000,Transactions,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,213
1983-10-09T05:00:00+0000,PARENTS AND TEACHERS VOICE FRUSTRATION OVER PAUCITY OF PROGRAMS FOR THE GIFTED,d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,1212
1983-10-09T05:00:00+0000,Cup Retrieval Planning Starts,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,817
1983-10-09T05:00:00+0000,Rodgers Picks Chicago,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,76
1983-10-11T05:00:00+0000,Advertising; Olympics Insurance Campaign,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Business Day,651
1983-10-11T05:00:00+0000,"FROM A CROWD OF THOUSANDS, PRAISE COMES FOR THE ARCHBISHOP",d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,812
1983-10-11T05:00:00+0000,Olympic Unit Plans Drug Tests,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,148
1983-10-11T05:00:00+0000,THE DELICATE ART OF PLAY-BY-PLAY,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,927
1983-10-13T05:00:00+0000,Soviet Archers Cancel U.S. Visit,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,145
1983-10-14T05:00:00+0000,Olympics Promotion By United Airlines,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Business Day,104
1983-10-14T05:00:00+0000,Comings and Goings,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,138
1983-10-14T05:00:00+0000,Russians Will Visit,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,155
1984-02-19T05:00:00+0000,Skier's Problem Reported,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,237
1984-04-08T05:00:00+0000,"STAMPS;
NEW POLICY BEGINS WITH ISSUE FOR BULK MAIL",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Arts,2064
1984-05-08T05:00:00+0000,"TUESDAY, MAY 8, 1984 International",d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,820
1984-07-27T05:00:00+0000,Africans to Urge Ban on England,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,153
1985-01-07T05:00:00+0000,RANGERS WOUNDED AND WORRIED,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,2682
1986-04-07T05:00:00+0000,DISTANCE SWIMMER BACK IN TRAINING,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,641
1986-11-09T05:00:00+0000,"50 YEARS ON THE TELLY: THE STORMY, WONDEROUS WORLD OF BBC",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Arts,2544
1987-08-02T05:00:00+0000,TRAVEL ADVISORY,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Travel,1174
1987-10-11T05:00:00+0000,"Islanders Crush Canucks, 7-1",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,636
1988-12-11T05:00:00+0000,Testing the Tester,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,180
1989-04-15T05:00:00+0000,Time's Earnings Fell 25.8% in First Quarter,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Business Day,423
1994-02-17T05:00:00+0000,No Headline,d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,22
1994-02-23T05:00:00+0000,A Pause In Scandal: Now They Will Skate,d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,1210
1994-08-21T05:00:00+0000,"WHAT'S DOING IN;
San Francisco",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Travel,1809
1994-08-28T05:00:00+0000,Some Shaky Precedents For New York Sports Fans,d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,1089
1995-01-24T05:00:00+0000,Bullet Train's Safety Image 'Shattered',d9afd4541b453bda2ef5eeaa1bd7a23d,240,Archives,3710
1996-03-02T05:00:00+0000,"About New York;Endless Laps, And Dreaming, In a Bronx Pool",d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,803
1996-05-31T05:00:00+0000,"Tokyo Journal;Japan vs. Korea, Again, and Both Cry 'Foul!'",d9afd4541b453bda2ef5eeaa1bd7a23d,240,World,968
1996-06-24T05:00:00+0000,METRO DIGEST,d9afd4541b453bda2ef5eeaa1bd7a23d,240,New York,631
1996-08-16T05:00:00+0000,"So Little to Report, So Little to Watch",d9afd4541b453bda2ef5eeaa1bd7a23d,240,U.S.,915
1997-12-30T05:00:00+0000,"In Ranger Puzzle, Passion Has Been A Missing Piece",d9afd4541b453bda2ef5eeaa1bd7a23d,240,Sports,721
